Company Name,Headquarters,Website,Ratings,Average Salary,No. of Reviews,No. of Interviews
Tata Consultancy Services,Mumbai,www.tcs.com,3.9, 106k, 65k, 12k
Infosys,Bengaluru,www.infosys.com,3.9, 148k, 54k, 10k
Accenture,"Dublin, Co. Dublin, Ireland",www.accenture.com,3.9, 109k, 78k, 16k
Cognizant Technology Solutions,"Teaneck, NJ, United States",www.cognizant.com,3.7, 99k, 50k, 8.5k
Amazon,"Seattle, WA, United States",www.amazon.jobs,4.3, 128k, 70k, 30k
Deloitte,"New York, NY, United States",www.deloitte.com,3.9, 193k, 53k, 15k
IBM,"Armonk, NY, United States",www.ibm.com,4.0, 113k, 67k, 10k
Wipro,Bengaluru,www.wipro.com,3.7, 66k, 32k, 5.6k
Capgemini,"Paris, France",www.capgemini.com,4.0, 45k, 33k, 8.4k
Oracle,"Redwood City, CA, United States",www.oracle.com,3.7, 72k, 32k, 5.8k
EY,"London, England, United Kingdom",www.ey.com,3.8, 78k, 39k, 11k
HCL Technologies,Noida,www.hcltech.com,3.6, 40k, 22k, 3.5k
Tech Mahindra,Pune,www.techmahindra.com,3.6, 24k, 19k, 3.0k
Microsoft,"Redmond, WA, United States",www.microsoft.com,4.4, 82k, 30k, 11k
PwC,"New York, NY, United States",www.pwc.com,3.9, 74k, 40k, 12k
KPMG,"Courbevoie, France",www.home.kpmg,3.8, 53k, 31k, 8.4k
Cisco Systems,"San Jose, CA, United States",www.cisco.com,4.3, 51k, 22k, 4.3k
J.P. Morgan,"New York, NY, United States",www.jpmorgan.com,4.0, 49k, 25k, 8.9k
Dell Technologies,"Round Rock, TX, United States",jobs.dell.com,4.1, 28k, 20k, 3.4k
Google,"Mountain View, CA, United States",www.google.com,4.5, 53k, 20k, 13k
Wells Fargo,"San Francisco, CA, United States",www.wellsfargojobs.com,3.7, 46k, 30k, 7.4k
HSBC Holdings,"London, England, United Kingdom",www.hsbc.com,3.8, 21k, 16k, 3.7k
SAP,"Walldorf, Baden-Württemberg, Germany",www.sap.com,4.6, 22k, 19k, 2.8k
Intel Corporation,"Santa Clara, CA, United States",www.intel.com,4.1, 43k, 18k, 4.4k
DXC Technology,"Tysons, VA, United States",www.dxc.technology,3.3, 18k, 12k, 1.5k
LTI,Mumbai,www.lntinfotech.com,3.6, 20k, 6.2k, 1.8k
Ericsson-Worldwide,"Stockholm, Stockholm, Sweden",www.ericsson.com,4.1, 15k, 13k, 1.9k
Bank of America,"Charlotte, NC, United States",www.bankofamerica.com,4.0, 45k, 27k, 6.5k
Genpact,"New York, NY, United States",www.genpact.com,3.8, 8.8k, 9.0k, 1.5k
Citi,"New York, NY, United States",www.citigroup.com,3.9, 33k, 20k, 5.1k
Qualcomm,"San Diego, CA, United States",www.qualcomm.com,4.1, 86k, 7.0k, 2.6k
Target,"Minneapolis, MN, United States",www.target.com,4.3, 69k, 45k, 12k
Honeywell,"Charlotte, NC, United States",www.honeywell.com,3.7, 17k, 12k, 2.2k
Walmart,"Mississauga, ON, Canada",www.walmart.ca,3.3, 87k, 65k, 10k
Verizon,"New York, NY, United States",www.verizon.com,4.0, 33k, 23k, 4.4k
Hewlett Packard Enterprise | HPE,"Palo Alto, CA, United States",www.hpe.com,4.2, 23k, 12k, 1.3k
Goldman Sachs,"New York, NY, United States",www.goldmansachs.com,4.0, 21k, 9.5k, 6.3k
CGI,"Montreal, QC, Canada",www.cgi.com,3.7, 22k, 9.6k, 2.1k
Mindtree,Bengaluru,www.mindtree.com,3.9, 9.1k, 6.2k, 1.7k
Nokia,"Nokia, Finland",www.nokia.com,4.1, 13k, 12k, 1.5k
Altran,"Neuilly-sur-Seine, France",www.altran.com,3.7, 9.5k, 7.9k, 1.7k
ADP,"Roseland, NJ, United States",jobs.adp.com,4.0, 17k, 12k, 3.2k
Siemens,"Munich, Bayern, Germany",www.siemens.com,4.1, 18k, 12k, 2.2k
Barclays,"London, England, United Kingdom",search.jobs.barclays,4.1, 16k, 10k, 3.0k
UnitedHealth Group,"Minnetonka, MN, United States",www.unitedhealthgroup.com,3.6, 17k, 12k, 3.7k
Mphasis,Bengaluru,www.mphasis.com,3.5, 13k, 4.8k, 1.0k
Thomson Reuters,"Toronto, ON, Canada",www.thomsonreuters.com,4.3, 14k, 11k, 2.2k
BYJU'S,Bengaluru,www.byjus.com,3.3, 4.8k, 5.3k, 2.1k
Concentrix,"Fremont, CA, United States",www.concentrix.com,3.9, 10k, 12k, 1.5k
Amdocs,"Chesterfield, MO, United States",www.amdocs.com,3.8, 7.5k, 6.7k, 1.2k
GE,"Boston, MA, United States",www.ge.com,3.9, 20k, 13k, 2.9k
Teleperformance,"Paris, France",www.teleperformance.com,3.4, 15k, 14k, 2.3k
ICICI Bank,Mumbai,www.icicibank.com,3.6, 4.9k, 6.0k, 984
American Express,"New York, NY, United States",www.americanexpress.com,4.2, 14k, 9.9k, 2.3k
Publicis Sapient,"Boston, MA, United States",www.publicissapient.com,3.7, 7.6k, 5.4k, 1.4k
Morgan Stanley,"New York, NY, United States",www.morganstanley.com,4.0, 20k, 10k, 4.7k
Robert Bosch,"Gerlingen, Baden-Württemberg, Germany",www.bosch.de,4.1, 10k, 8.3k, 1.5k
Larsen & Toubro,Mumbai,www.larsentoubro.com,3.8, 7.5k, 4.4k, 923
Fidelity Investments,"Boston, MA, United States",www.fidelitycareers.com,4.1, 16k, 8.9k, 2.5k
Atos-Syntel,"Troy, MI, United States",www.atos-syntel.net,3.5, 9.4k, 4.7k, 978
Vodafone,"Newbury, England, United Kingdom",www.vodafone.com,4.0, 9.4k, 8.9k, 1.9k
Cerner,"Kansas City, MO, United States",www.cerner.com,3.9, 11k, 6.0k, 2.4k
ZS Associates,"Evanston, IL, United States",www.zs.com,3.9, 6.1k, 3.6k, 1.8k
NTT DATA,"Tokyo, Japan",www.nttdata.com,3.7, 9.9k, 5.8k, 1.1k
UST,"Aliso Viejo, CA, United States",www.ust.com,4.1, 11k, 3.9k, 1.1k
Uber,"San Francisco, CA, United States",www.uber.com,4.3, 22k, 13k, 3.7k
CSC,"Tysons, VA, United States",www.csc.com,3.6, 21k, 6.6k, 1.1k
Adobe,"San Jose, CA, United States",www.adobe.com,4.4, 10k, 5.5k, 1.3k
Atos,"Bezons, France",www.atos.net,3.5, 8.2k, 7.2k, 1.0k
Salesforce,"San Francisco, CA, United States",www.salesforce.com,4.5, 17k, 8.5k, 7.3k
NatWest Group,"Edinburgh, Scotland, United Kingdom",www.natwestgroup.com,3.9, 6.6k, 5.9k, 1.4k
Deutsche Bank,"Frankfurt am Main, Germany",www.db.com,3.8, 13k, 7.5k, 2.1k
Samsung Electronics,"Suwŏn, Kyonggi, South Korea",www.samsung.com,3.7, 8.8k, 8.0k, 1.3k
VMware,"Palo Alto, CA, United States",www.vmware.com,4.3, 12k, 6.5k, 1.7k
IQVIA,"Durham, NC, United States",jobs.iqvia.com,3.8, 8.6k, 6.5k, 1.6k
Mu Sigma,"Northbrook, IL, United States",www.mu-sigma.com,3.2, 4.2k, 3.2k, 1.6k
Schneider Electric,"Paris, France",www.se.com,4.2, 8.9k, 7.7k, 1.3k
HDFC Bank,Mumbai,www.hdfcbank.com,3.7, 3.6k, 4.1k, 586
Philips,"Amsterdam, Netherlands",www.philips.com,4.0, 11k, 6.7k, 1.4k
BNY Mellon,"New York, NY, United States",www.bnymellon.com,3.4, 10k, 6.8k, 1.4k
FIS,"Jacksonville, FL, United States",www.fisglobal.com,3.8, 8.0k, 5.2k, 907
Virtusa,"Westborough, MA, United States",www.virtusa.com,3.4, 5.0k, 4.0k, 964
Credit Suisse,"Zürich, Switzerland",www.credit-suisse.com,3.9, 13k, 6.7k, 1.9k
McDonald's,"Chicago, IL, United States",www.mcdonalds.com,3.5, 51k, 52k, 8.2k
AT&T,"Dallas, TX, United States",www.att.jobs,3.6, 43k, 27k, 4.2k
Reliance Industries,Mumbai,www.ril.com,3.9, 3.1k, 3.8k, 567
Apple,"Cupertino, CA, United States",www.apple.com,4.3, 70k, 22k, 8.5k
Huawei Technologies,"Shenzhen, Guangdong, China",www.huawei.com,3.8, 6.3k, 7.4k, 1.6k
Unilever,"London, England, United Kingdom",www.unilever.com,4.1, 10k, 8.5k, 2.5k
Sutherland,"Pittsford, NY, United States",www.sutherlandglobal.com,3.7, 3.5k, 4.5k, 943
ABC,"New York, NY, United States",www.abc.com,4.0, 5.4k, 4.6k, 608
NortonLifeLock,"Tempe, AZ, United States",www.nortonlifelock.com,3.8, 7.5k, 4.7k, 862
Lowe's Home Improvement,"Mooresville, NC, United States",jobs.lowes.com,3.5, 44k, 24k, 4.3k
NVIDIA,"Santa Clara, CA, United States",www.nvidia.com,4.6, 22k, 3.1k, 1.4k
Société Générale,"Paris, France",www.societegenerale.com,3.7, 7.3k, 5.7k, 1.2k
BT,"London, England, United Kingdom",www.bt.com,3.9, 6.3k, 5.3k, 964
Robert Bosch India,Bengaluru,www.boschindia.com,3.9, 2.5k, 2.9k, 771
Persistent Systems (India),Pune,www.persistent.com,3.9, 3.2k, 3.0k, 768
IGATE,"Bridgewater, NJ, United States",www.igate.com,4.0, 6.0k, 2.7k, 634
Nielsen,"New York, NY, United States",www.nielsen.com,3.7, 10k, 6.9k, 1.7k
TCS,"Jefferson City, MO, United States",www.calltcs.com,4.0, 2.3k, 3.3k, 780
Shell,"The Hague, Netherlands",www.shell.com,4.1, 8.3k, 7.4k, 1.9k
GlobalLogic,"San Jose, CA, United States",www.globallogic.com,3.8, 3.2k, 3.2k, 666
Hexaware Technologies,Mumbai,www.hexaware.com,3.5, 6.4k, 2.4k, 704
BNP Paribas,"Paris, France",www.group.bnpparibas,3.7, 8.4k, 6.9k, 1.4k
OYO,"Madrid, Spain",www.oyorooms.com,3.2, 2.8k, 3.2k, 571
TEKsystems,"Hanover, MD, United States",www.teksystems.com,4.1, 7.1k, 5.9k, 1.5k
Anonymous Content,"Culver City, CA, United States",www.anonymouscontent.com,3.8, 3.0k, 3.5k, 1.4k
Fiserv,"Brookfield, WI, United States",www.fiserv.com,3.4, 6.9k, 4.5k, 793
EXL Service,"New York, NY, United States",www.exlservice.com,3.5, 3.9k, 2.8k, 666
Axis Bank,Mumbai,www.axisbank.com,3.5, 2.5k, 3.0k, 506
KPIT Technologies,Pune,www.kpit.com,3.2, 4.6k, 2.4k, 572
McKinsey & Company,"New York, NY, United States",www.mckinsey.com,4.4, 14k, 5.4k, 3.1k
Intuit,"Mountain View, CA, United States",www.intuit.com,4.4, 9.4k, 6.1k, 1.5k
Fujitsu,"Tokyo, Japan",www.fujitsu.com,3.5, 17k, 3.9k, 613
ABB,"Cary, NC, United States",new.abb.com,3.9, 6.6k, 5.2k, 814
HP Inc.,"Palo Alto, CA, United States",jobs.hp.com,4.1, 10k, 5.0k, 532
UBS,"Zürich, Switzerland",www.ubs.com,3.8, 15k, 7.7k, 2.6k
S&P Global,"New York, NY, United States",www.spglobal.com,4.0, 4.7k, 3.7k, 1.2k
Ford Motor Company,"Dearborn, MI, United States",corporate.ford.com,4.1, 10k, 6.9k, 1.3k
Cyient,Hyderabad,www.cyient.com,3.3, 7.6k, 2.0k, 334
L&T Technology Services,Vadodara,www.ltts.com,4.0, 3.3k, 3.1k, 452
Coforge,Noida,www.coforgetech.com,3.8, 5.4k, 2.6k, 409
HCL,Noida,www.hcl.com,3.5, 2.4k, 3.2k, 704
WNS,Mumbai,www.wns.com,3.4, 2.2k, 2.9k, 598
Flipkart,Bengaluru,www.flipkart.com,4.2, 2.4k, 2.3k, 559
Sopra Steria,"Annecy-le-Vieux, France",www.soprasteria.fr,3.6, 4.5k, 3.7k, 748
Collabera,"Basking Ridge, NJ, United States",www.collabera.com,4.0, 3.7k, 2.8k, 622
PepsiCo,"Purchase, NY, United States",www.pepsico.com,4.0, 17k, 11k, 2.9k
Jio,Mumbai,www.jio.com,3.7, 2.1k, 2.5k, 562
Samsung R&D Institute India - Bangalore,Bengaluru,research.samsung.com,3.6, 2.5k, 2.4k, 429
Sears,"Hoffman Estates, IL, United States",jobs.sears.com,3.1, 19k, 13k, 2.9k
PayPal,"San Jose, CA, United States",www.paypal.com,4.2, 10.0k, 4.5k, 1.2k
Zoho,"Pleasanton, CA, United States",www.zohocorp.com,4.5, 1.7k, 1.8k, 1.1k
Schlumberger,"Houston, TX, United States",www.slb.com,3.7, 9.9k, 7.7k, 2.4k
Hinduja Global Solutions,Bengaluru,www.joinhgs.com,3.5, 2.0k, 2.7k, 425
Novartis,"Basel, Switzerland",www.novartis.com,4.2, 6.9k, 5.1k, 925
HARMAN,"Stamford, CT, United States",www.harman.com,3.7, 3.3k, 2.7k, 662
Kantar,"London, England, United Kingdom",www.kantar.com,3.5, 5.5k, 4.5k, 946
NetApp,"Sunnyvale, CA, United States",www.netapp.com,4.2, 7.0k, 3.7k, 711
Zensar Technologies,Pune,www.zensar.com,3.4, 12k, 2.3k, 585
Cummins,"Columbus, IN, United States",www.cummins.com,4.0, 10k, 4.9k, 1.4k
Aon,"London, England, United Kingdom",www.aon.com,3.8, 5.9k, 4.5k, 1.0k
Marriott International,"Bethesda, MD, United States",jobs.marriott.com,4.1, 17k, 11k, 1.8k
Tata Consultancy Services (North America),"New York, NY, United States",www.tcs.com,3.7, 2.8k, 3.0k, 683
Procter & Gamble,"Cincinnati, OH, United States",www.pg.com,4.2, 13k, 9.8k, 3.9k
Unisys,"Blue Bell, PA, United States",www.unisys.com,3.5, 4.1k, 3.5k, 528
Nestlé,"Vevey, Switzerland",www.nestle.com,4.1, 9.5k, 7.2k, 1.3k
Tesco,"Welwyn Garden City, England, United Kingdom",www.tesco-careers.com,3.8, 13k, 11k, 2.0k
WhiteHat Jr,Mumbai,www.whitehatjr.com,4.2, 2.0k, 2.9k, 363
Birlasoft,Pune,www.birlasoft.com,3.5, 7.7k, 1.5k, 337
GE Healthcare,"Chicago, IL, United States",www.gehealthcare.com,4.1, 6.3k, 4.1k, 820
Synechron,"New York, NY, United States",www.synechron.com,3.8, 5.2k, 1.9k, 430
CA Technologies,"San Jose, CA, United States",www.broadcom.com,3.8, 5.0k, 3.4k, 515
Johnson & Johnson,"New Brunswick, NJ, United States",www.jnj.com,4.2, 11k, 8.8k, 2.1k
Nagarro,"Munich, Bayern, Germany",www.nagarro.com,3.9, 2.2k, 1.8k, 700
State Street,"Boston, MA, United States",www.statestreet.com,3.4, 9.9k, 6.0k, 1.4k
Bharti Airtel,New Delhi,www.airtel.in,3.8, 1.9k, 2.6k, 437
Xerox,"Norwalk, CT, United States",www.xerox.com,3.2, 10k, 7.6k, 1.2k
Texas Instruments,"Dallas, TX, United States",www.ti.com,4.2, 6.7k, 3.4k, 1.5k
Standard Chartered Bank,"London, England, United Kingdom",www.sc.com,3.9, 4.2k, 4.3k, 939
Caterpillar,"Deerfield, IL, United States",www.caterpillar.com,3.9, 8.7k, 5.0k, 1.0k
Boeing,"Chicago, IL, United States",www.boeing.com,3.7, 18k, 10k, 2.2k
Facebook,"Menlo Park, CA, United States",www.facebook.com,4.2, 27k, 6.7k, 7.2k
JLL,"Chicago, IL, United States",www.jll.com,4.0, 7.2k, 5.0k, 956
Flex,"Singapore, Singapore",www.flex.com,3.8, 4.7k, 3.5k, 506
Convergys,"Cincinnati, OH, United States",www.convergys.com,3.0, 5.2k, 5.5k, 1.2k
Informatica,"Redwood City, CA, United States",www.informatica.com,4.3, 7.4k, 1.8k, 577
Conduent,"Florham Park, NJ, United States",www.conduent.com,3.0, 4.8k, 4.5k, 674
CBRE,"Los Angeles, CA, United States",www.cbre.com,3.9, 11k, 5.7k, 1.1k
Expedia Group,"Seattle, WA, United States",www.lifeatexpediagroup.com,4.0, 9.1k, 4.5k, 1.5k
Tata Motors,Mumbai,www.tatamotors.com,4.0, 1.8k, 2.2k, 387
Cybage Software,Pune,www.cybage.com,3.7, 1.9k, 2.2k, 482
Lumen,"Monroe, LA, United States",www.lumen.com,3.7, 7.2k, 4.9k, 745
ITC Infotech,Bengaluru,www.itcinfotech.com,3.6, 2.7k, 2.1k, 386
General Motors (GM),"Detroit, MI, United States",www.gm.com,4.0, 13k, 7.3k, 1.9k
GlaxoSmithKline,"Brentford, England, United Kingdom",www.gsk.com,3.9, 9.4k, 7.4k, 1.6k
Boston Consulting Group,"Boston, MA, United States",www.bcg.com,4.0, 7.5k, 4.0k, 2.2k
Citrix,"Fort Lauderdale, FL, United States",jobs.citrix.com,4.0, 5.5k, 3.2k, 914
Juniper Networks,"Sunnyvale, CA, United States",www.juniper.net,3.9, 4.9k, 2.9k, 594
Visa Inc.,"Foster City, CA, United States",www.visa.com,3.8, 7.7k, 3.8k, 1.4k
Eaton,"Dublin, Co. Dublin, Ireland",www.eaton.com,3.9, 6.3k, 4.1k, 988
Mahindra,Mumbai,www.experiencemahindra.com,3.9, 1.8k, 2.3k, 345
Johnson Controls,"Cork, Ireland",www.johnsoncontrols.com,3.5, 8.7k, 5.0k, 841
IHS Markit,"London, England, United Kingdom",www.ihsmarkit.com,4.1, 3.9k, 3.2k, 715
Broadcom,"Irvine, CA, United States",www.broadcom.com,3.2, 7.9k, 3.1k, 667
Infosys BPM,Bengaluru,www.infosysbpo.com,3.5, 1.9k, 2.3k, 329
Gartner,"Stamford, CT, United States",jobs.gartner.com,3.8, 6.3k, 4.3k, 1.7k
eClerx,Mumbai,www.eclerx.com,3.5, 1.4k, 1.9k, 581
State Bank of India,Mumbai,www.statebankofindia.com,3.9, 1.8k, 2.1k, 300
Randstad,"Amsterdam, Netherlands",www.randstad.com,3.9, 12k, 4.1k, 690
Capita,"London, England, United Kingdom",www.capita.com,3.2, 4.7k, 4.0k, 641
FactSet,"Norwalk, CT, United States",www.factset.com,3.9, 3.6k, 2.2k, 1.3k
NCR,"Atlanta, GA, United States",www.ncr.com,3.6, 5.4k, 4.3k, 819
Mercer,"New York, NY, United States",www.mercer.com,3.7, 5.7k, 3.6k, 1.1k
Evalueserve,"Schaffhausen, Switzerland",www.evalueserve.com,4.1, 1.4k, 2.1k, 357
Amadeus,"Madrid, Spain",www.amadeus.com,3.7, 3.7k, 2.7k, 677
Northern Trust,"Chicago, IL, United States",www.northerntrust.com,3.9, 3.9k, 2.8k, 657
Starbucks,"Seattle, WA, United States",www.starbucks.com,3.9, 44k, 35k, 6.2k
Capital One,"Mc Lean, VA, United States",www.capitalonecareers.com,4.1, 22k, 9.6k, 5.0k
Continental,"Hannover, Germany",www.continental-careers.com,4.0, 7.4k, 4.4k, 843
AIG,"New York, NY, United States",www.aig.com,3.6, 7.9k, 5.5k, 1.2k
Freelancer,"Sydney, Australia",www.freelancer.com,4.3, 5.0k, 4.1k, 145
ThoughtWorks,"Chicago, IL, United States",www.thoughtworks.com,4.4, 3.3k, 1.7k, 900
John Deere,"Moline, IL, United States",www.deere.com,4.0, 4.9k, 3.5k, 724
Maersk Group,"Copenhagen, Denmark",www.maersk.com,4.0, 3.2k, 2.8k, 564
Abbott,"Abbott Park, IL, United States",www.abbott.com,3.9, 8.6k, 5.1k, 976
BlackRock,"New York, NY, United States",www.blackrock.com,4.1, 6.7k, 3.2k, 2.0k
Emerson,"Saint Louis, MO, United States",www.emerson.com,3.7, 5.7k, 4.0k, 766
Optum,"Eden Prairie, MN, United States",www.optum.com,3.6, 4.6k, 2.5k, 383
Grant Thornton,"Chicago, IL, United States",www.grantthornton.com,3.8, 7.6k, 3.9k, 1.1k
Orange,"Paris, France",www.orange.jobs,4.0, 4.9k, 4.7k, 711
MetLife,"New York, NY, United States",www.metlife.com,3.8, 6.7k, 4.6k, 891
EPAM,"Newtown, PA, United States",www.epam.com,4.1, 6.5k, 3.2k, 628
Parexel,"Newton, MA, United States",www.parexel.com,3.8, 8.6k, 2.1k, 458
Willis Towers Watson,"Arlington, VA, United States",www.willistowerswatson.com,3.8, 6.0k, 4.2k, 1.3k
LinkedIn,"Sunnyvale, CA, United States",www.linkedin.com,4.3, 8.0k, 3.9k, 2.0k
Akamai,"Cambridge, MA, United States",www.akamai.com,4.6, 3.4k, 1.8k, 666
Adecco,"Zürich, Switzerland",www.adecco.com,3.6, 12k, 5.2k, 937
Mastercard,"Purchase, NY, United States",www.mastercard.com,4.3, 4.6k, 2.9k, 871
Bain & Company,"Boston, MA, United States",www.bain.com,4.6, 5.1k, 3.9k, 1.7k
Yahoo,"Sunnyvale, CA, United States",www.yahoo.com,4.1, 8.6k, 4.0k, 1.1k
Tata Communications,Mumbai,www.tatacommunications.com,4.0, 1.5k, 1.8k, 262
Sitel,"Luxembourg, Luxembourg",www.sitel.com,3.4, 5.0k, 5.3k, 829
ANZ Bank,"Melbourne, Australia",www.anz.com.au,4.1, 2.7k, 2.6k, 446
UKG (Ultimate Kronos Group),"Weston, FL, United States",www.ukg.com,4.2, 3.4k, 3.4k, 919
QuEST Global,"Singapore, Singapore",www.quest-global.com,3.2, 3.2k, 1.7k, 369
Kotak Mahindra,Mumbai,www.kotak.com,3.5, 1.5k, 1.8k, 238
UPS,"Atlanta, GA, United States",www.upsjobs.com,3.6, 33k, 19k, 3.1k
OpenText,"Waterloo, ON, Canada",www.opentext.com,3.4, 2.7k, 2.3k, 493
Synopsys,"Mountain View, CA, United States",www.synopsys.com,4.1, 7.9k, 2.2k, 447
Allstate,"Northbrook, IL, United States",www.allstate.com,3.5, 9.6k, 6.5k, 1.7k
AstraZeneca,"Cambridge, England, United Kingdom",www.astrazeneca.com,4.2, 5.5k, 3.9k, 944
Blue Yonder,"Scottsdale, AZ, United States",www.blueyonder.com,4.2, 2.1k, 1.9k, 313
[24]7.ai,"San Jose, CA, United States",www.247.ai,4.3, 1.3k, 1.8k, 346
Whirlpool Corporation,"Benton Harbor, MI, United States",www.whirlpoolcorp.com,4.0, 5.9k, 3.8k, 578
Infogain,"Los Gatos, CA, United States",www.infogain.com,3.8, 1.6k, 1.6k, 323
Decathlon,"Villeneuve-d'Ascq, France",www.decathlon.com,3.9, 3.0k, 3.1k, 508
Alcatel-Lucent,"Espoo, Finland",www.nokia.com,3.5, 4.2k, 2.7k, 446
Capgemini Invent,"Issy-les-Moulineaux, France",www.capgemini.com,3.9, 2.6k, 2.0k, 565
HERE Technologies,"Amsterdam, Netherlands",company.here.com,3.7, 2.4k, 1.9k, 391
Allscripts,"Chicago, IL, United States",www.allscripts.com,3.5, 2.3k, 1.9k, 413
ValueLabs,Hyderabad,www.valuelabs.com,3.5, 1.2k, 1.3k, 419
Thermo Fisher Scientific,"Waltham, MA, United States",www.thermofisher.com,3.7, 9.8k, 4.8k, 991
ITC,Kolkata,www.itcportal.com,3.9, 1.2k, 1.4k, 325
Paytm,Noida,www.paytm.com,3.5, 1.3k, 1.3k, 385
Domino's,"Ann Arbor, MI, United States",jobs.dominos.com,3.6, 13k, 8.2k, 1.2k
First Student,"Cincinnati, OH, United States",www.firststudentinc.com,4.1, 3.5k, 1.6k, 115
Medtronic,"Dublin, Co. Dublin, Ireland",www.medtronic.com,4.0, 8.2k, 5.2k, 1.2k
Pearson,"London, England, United Kingdom",www.pearson.com,3.5, 8.5k, 5.5k, 895
ExxonMobil,"Irving, TX, United States",corporate.exxonmobil.com,3.4, 7.4k, 5.3k, 1.9k
Avaya,"Santa Clara, CA, United States",www.avaya.com,3.7, 3.1k, 2.6k, 344
CRISIL,Mumbai,www.crisil.com,3.7, 1.3k, 1.4k, 310
Fractal,"New York, NY, United States",www.fractal.ai,4.0, 1.7k, 828, 448
